SCH_TIME,CARRIER,DEP_TIME,DEST,DISTANCE,FL_NUM,ORIGIN,WEATHER,WK_DAY,MTH_DAY,FL_STATUS
1455,OH,1455,JFK,184,5935,BWI,0,4,1,ontime
1640,DH,1640,JFK,213,6155,DCA,0,4,1,ontime
1245,DH,1245,LGA,229,7208,IAD,0,4,1,ontime
1715,DH,1709,LGA,229,7215,IAD,0,4,1,ontime
1039,DH,1035,LGA,229,7792,IAD,0,4,1,ontime
840,DH,839,JFK,228,7800,IAD,0,4,1,ontime
1240,DH,1243,JFK,228,7806,IAD,0,4,1,ontime
1645,DH,1644,JFK,228,7810,IAD,0,4,1,ontime
1715,DH,1710,JFK,228,7812,IAD,0,4,1,ontime
2120,DH,2129,JFK,228,7814,IAD,0,4,1,ontime
2120,DH,2114,LGA,229,7924,IAD,0,4,1,ontime
1455,DL,1458,JFK,213,746,DCA,0,4,1,ontime
930,DL,932,LGA,214,1746,DCA,0,4,1,ontime
1230,DL,1228,LGA,214,1752,DCA,0,4,1,ontime
1430,DL,1429,LGA,214,1756,DCA,0,4,1,ontime
1730,DL,1728,LGA,214,1762,DCA,0,4,1,ontime
2030,DL,2029,LGA,214,1768,DCA,0,4,1,ontime
1530,MQ,1525,JFK,213,4752,DCA,0,4,1,ontime
600,MQ,556,JFK,213,4760,DCA,0,4,1,ontime
1830,MQ,1822,JFK,213,4784,DCA,0,4,1,ontime
900,MQ,853,LGA,214,4956,DCA,0,4,1,ontime
1300,MQ,1254,LGA,214,4964,DCA,0,4,1,ontime
1400,MQ,1356,LGA,214,4966,DCA,0,4,1,ontime
1500,MQ,1452,LGA,214,4968,DCA,0,4,1,ontime
1900,MQ,1853,LGA,214,4976,DCA,0,4,1,ontime
850,UA,841,LGA,229,846,IAD,0,4,1,ontime
900,US,858,LGA,214,2164,DCA,0,4,1,ontime
1100,US,1056,LGA,214,2168,DCA,0,4,1,ontime
1300,US,1253,LGA,214,2172,DCA,0,4,1,ontime
1500,US,1458,LGA,214,2176,DCA,0,4,1,ontime
1700,US,1655,LGA,214,2180,DCA,0,4,1,ontime
2100,US,2055,LGA,214,2188,DCA,0,4,1,ontime
